series_id,series_title,area_code,area_name,item_code,item_name,seasonal,periodicity_code,base_period,base_code
"CUSR0000SEAE03   ","Women's footwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAE03,"Women's footwear",S,R,1982-84=100,S
"CUSR0000SEAF     ","Infants' and toddlers' apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAF,"Infants' and toddlers' apparel",S,R,1982-84=100,S
"CUSR0000SEAG     ","Jewelry and watches in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAG,"Jewelry and watches",S,R,"DECEMBER 1986=100",S
"CUSR0000SEAG01   ","Watches in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAG01,Watches,S,R,"DECEMBER 1986=100",S
"CUSR0000SEAG02   ","Jewelry in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAG02,Jewelry,S,R,"DECEMBER 1986=100",S
"CUSR0000SEEA     ","Educational books and supplies in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEA,"Educational books and supplies",S,R,1982-84=100,S
"CUSR0000SEEB     ","Tuition, other school fees, and childcare in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEB,"Tuition, other school fees, and childcare",S,R,1982-84=100,S
"CUSR0000SEEB01   ","College tuition and fees in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEB01,"College tuition and fees",S,R,1982-84=100,S
"CUSR0000SEEB02   ","Elementary and high school tuition and fees in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEB02,"Elementary and high school tuition and fees",S,R,1982-84=100,S
"CUSR0000SEEB03   ","Day care and preschool in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEB03,"Day care and preschool",S,R,"DECEMBER 1990=100",S
"CUSR0000SEEB04   ","Technical and business school tuition and fees in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEB04,"Technical and business school tuition and fees",S,R,"DECEMBER 1997=100",S
"CUSR0000SEEC     ","Postage and delivery services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEC,"Postage and delivery services",S,R,"DECEMBER 1997=100",S
"CUSR0000SEEC01   ","Postage in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEC01,Postage,S,R,1982-84=100,S
"CUSR0000SEEC02   ","Delivery services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEC02,"Delivery services",S,R,"DECEMBER 1997=100",S
"CUSR0000SEEE     ","Information technology, hardware and services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEE,"Information technology, hardware and services",S,R,"DECEMBER 1988=100",S
"CUSR0000SEEE01   ","Computers, peripherals, and smart home assistants in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEE01,"Computers, peripherals, and smart home assistants",S,R,"DECEMBER 2007=100",S
"CUSR0000SEEE03   ","Internet services and electronic information providers in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEE03,"Internet services and electronic information providers",S,R,"DECEMBER 1997=100",S
"CUSR0000SEEE04   ","Telephone hardware, calculators, and other consumer information items in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEE04,"Telephone hardware, calculators, and other consumer information items",S,R,"DECEMBER 1997=100",S
"CUSR0000SEEEC    ","Information technology commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEEEC,"Information technology commodities",S,R,"DECEMBER 2009=100",S
"CUSR0000SEFA     ","Cereals and cereal products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFA,"Cereals and cereal products",S,R,1982-84=100,S
"CUSR0000SEFA01   ","Flour and prepared flour mixes in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFA01,"Flour and prepared flour mixes",S,R,1982-84=100,S
"CUSR0000SEFA02   ","Breakfast cereal in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFA02,"Breakfast cereal",S,R,1982-84=100,S
"CUSR0000SEFA03   ","Rice, pasta, cornmeal in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFA03,"Rice, pasta, cornmeal",S,R,1982-84=100,S
"CUSR0000SEFB     ","Bakery products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFB,"Bakery products",S,R,1982-84=100,S
"CUSR0000SEFB01   ","Bread in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFB01,Bread,S,R,"DECEMBER 1997=100",S
"CUSR0000SEFB02   ","Fresh biscuits, rolls, muffins in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFB02,"Fresh biscuits, rolls, muffins",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFB03   ","Cakes, cupcakes, and cookies in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFB03,"Cakes, cupcakes, and cookies",S,R,1982-84=100,S
"CUSR0000SEFB04   ","Other bakery products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFB04,"Other bakery products",S,R,1982-84=100,S
"CUSR0000SEFC     ","Beef and veal in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFC,"Beef and veal",S,R,1982-84=100,S
"CUSR0000SEFC01   ","Uncooked ground beef in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFC01,"Uncooked ground beef",S,R,1982-84=100,S
"CUSR0000SEFC02   ","Uncooked beef roasts in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFC02,"Uncooked beef roasts",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFC03   ","Uncooked beef steaks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFC03,"Uncooked beef steaks",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFD     ","Pork in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFD,Pork,S,R,1982-84=100,S
"CUSR0000SEFD01   ","Bacon, breakfast sausage, and related products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFD01,"Bacon, breakfast sausage, and related products",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFD02   ","Ham in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFD02,Ham,S,R,1982-84=100,S
"CUSR0000SEFD03   ","Pork chops in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFD03,"Pork chops",S,R,1982-84=100,S
"CUSR0000SEFD04   ","Other pork including roasts, steaks, and ribs in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFD04,"Other pork including roasts, steaks, and ribs",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFE     ","Other meats in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFE,"Other meats",S,R,1982-84=100,S
"CUSR0000SEFF     ","Poultry in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFF,Poultry,S,R,1982-84=100,S
"CUSR0000SEFF01   ","Chicken in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFF01,Chicken,S,R,"DECEMBER 1997=100",S
"CUSR0000SEFF02   ","Other uncooked poultry including turkey in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFF02,"Other uncooked poultry including turkey",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFG     ","Fish and seafood in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFG,"Fish and seafood",S,R,1982-84=100,S
"CUSR0000SEFG01   ","Fresh fish and seafood in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFG01,"Fresh fish and seafood",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFG02   ","Processed fish and seafood in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFG02,"Processed fish and seafood",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFH     ","Eggs in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFH,Eggs,S,R,1982-84=100,S
"CUSR0000SEFJ     ","Dairy and related products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFJ,"Dairy and related products",S,R,1982-84=100,S
"CUSR0000SEFJ01   ","Milk in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFJ01,Milk,S,R,"DECEMBER 1997=100",S
"CUSR0000SEFJ02   ","Cheese and related products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFJ02,"Cheese and related products",S,R,1982-84=100,S
"CUSR0000SEFJ03   ","Ice cream and related products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFJ03,"Ice cream and related products",S,R,1982-84=100,S
"CUSR0000SEFJ04   ","Other dairy and related products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFJ04,"Other dairy and related products",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFK     ","Fresh fruits in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFK,"Fresh fruits",S,R,1982-84=100,S
"CUSR0000SEFK01   ","Apples in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFK01,Apples,S,R,1982-84=100,S
"CUSR0000SEFK02   ","Bananas in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFK02,Bananas,S,R,1982-84=100,S
"CUSR0000SEFK03   ","Citrus fruits in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFK03,"Citrus fruits",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFK04   ","Other fresh fruits in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFK04,"Other fresh fruits",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFL     ","Fresh vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFL,"Fresh vegetables",S,R,1982-84=100,S
"CUSR0000SEFL01   ","Potatoes in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFL01,Potatoes,S,R,1982-84=100,S
"CUSR0000SEFL02   ","Lettuce in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFL02,Lettuce,S,R,1982-84=100,S
"CUSR0000SEFL03   ","Tomatoes in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFL03,Tomatoes,S,R,1982-84=100,S
"CUSR0000SEFL04   ","Other fresh vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFL04,"Other fresh vegetables",S,R,1982-84=100,S
"CUSR0000SEFM     ","Processed fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFM,"Processed fruits and vegetables",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFM01   ","Canned fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFM01,"Canned fruits and vegetables",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFM02   ","Frozen fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFM02,"Frozen fruits and vegetables",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFM03   ","Other processed fruits and vegetables including dried in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFM03,"Other processed fruits and vegetables including dried",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFN     ","Juices and nonalcoholic drinks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFN,"Juices and nonalcoholic drinks",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFN01   ","Carbonated drinks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFN01,"Carbonated drinks",S,R,1982-84=100,S
"CUSR0000SEFN03   ","Nonfrozen noncarbonated juices and drinks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFN03,"Nonfrozen noncarbonated juices and drinks",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFP     ","Beverage materials including coffee and tea in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFP,"Beverage materials including coffee and tea",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFP01   ","Coffee in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFP01,Coffee,S,R,1982-84=100,S
"CUSR0000SEFP02   ","Other beverage materials including tea in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFP02,"Other beverage materials including tea",S,R,"DECEMBER 1997=100",S
"CUSR0000SEFR     ","Sugar and sweets in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFR,"Sugar and sweets",S,R,1982-84=100,S
"CUSR0000SEFR01   ","Sugar and sugar substitutes in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEFR01,"Sugar and sugar substitutes",S,R,1982-84=100,S
